name,build,run,revised,comment
DataPackageR,,,FALSE,pandoc - https://pandoc.org
dataReporter,,,TRUE,"pandoc; https://pandoc.org), git, whoami"
datasailr,bison flex autoconf automake libtool,,TRUE,
datefixR,,,FALSE,"Cargo (Rust's package manager), rustc"
datelife,,,TRUE,
datr,,,TRUE,dat
dbmss,,pandoc,TRUE,"pandoc,"
dccvalidator,,,TRUE,
dclone,,,TRUE,"none, one or more of JAGS, WinBUGS, OpenBUGS, Stan"
dcmle,,,TRUE,JAGS
Deducer,,,TRUE,"Java, JRI"
deepspat,,,FALSE,"TensorFlow (https://www.tensorflow.org/),"
deforestable,,,FALSE,"GDAL, GEOS, PROJ,sqlite3"
Delaporte,,,FALSE,A version of Fortran supporting the LOG_GAMMAIntrinsic and the ieee_arithmetic module.
delaunay,gmp mpfr,,TRUE,
denguedatahub,,,FALSE,"Java: openjdk-11-jdk (deb),java-11-openjdk.x86_64 (rpm), openjdk@11 (brew)"
DesignCTPB,,,TRUE,
designmatch,,,TRUE,
devEMF,,,FALSE,fontconfig or zlib (only needed for platforms otherthan modern OSX and Windows)
devianLM,,,FALSE,"OpenMP (optional, for parallel execution)"
dialr,,,TRUE,java
dialrjars,,,TRUE,java
diffeqr,,,TRUE,"Julia, DifferentialEquations.jl,ModelingToolkit.jl"
digitalDLSorteR,,,TRUE,
DiNAMIC.Duo,,,FALSE,"Python, NumPy Python library"
diskImageR,,imagej,TRUE,
dismo,,java-bin,TRUE,Java
divent,,,FALSE,pandoc
diversitree,fftw gsl,,TRUE,"fftw3, gsl"
DIZutils,,,TRUE,libpq: libpq-dev (deb) or postgresql-devel(rpm)
DLSSM,,,TRUE,
DNNSIM,,,FALSE,Python; PyTorch (https://pytorch.org/);NumPy (https://numpy.org/); SciPy (https://scipy.org/); sklearn(https://scikit-learn.org/stable/);
docknitr,,docker,TRUE,"Docker, RStudio>=1.2"
doconv,,libreoffice,TRUE,"LibreOffice, Microsoft Word"
docxtractr,,libreoffice,TRUE,LibreOffice (<https://www.libreoffice.org/>)required to extract data fromdoc files or performpptxconversion.
domino,,,TRUE,domino (~>1.7.1)
DQAstats,,,FALSE,Quarto command line tools(https://github.com/quarto-dev/quarto-cli).
DRIP,gsl,,TRUE,
drugsens,,,FALSE,QuPath™or higher
dti,gsl,,TRUE,gsl
duckdb,,,FALSE,xz (for building from source)
duet,,,FALSE,FFmpeg (https://ffmpeg.org/)
DynareR,,,TRUE,"Dynare, Octave"
dynaSpec,,,FALSE,ffmpeg
dynBiplotGUI,xvfb,,TRUE,gmake
dynr,gsl,,TRUE,
eaf,gsl,,TRUE,Gnu Scientific Library
easyNCDF,,,TRUE,netcdf development libraries
EBASE,,,FALSE,JAGSx.y (https://mcmc-jags.sourceforge.net)
ebvcube,,,TRUE,GDAL binaries
ech,,unrar,TRUE,
EcoDiet,,,TRUE,JAGS
econetwork,,,TRUE,GNU GSL
ecotourism,,,FALSE,Quarto
edgemodelr,,,TRUE,
eDMA,,,TRUE,"Requires the OpenMP library for parallel computing.If the OpenMP library is not available, the code is executedsequentially and a warning is printed."
EHRmuse,,,FALSE,GNU Scientific Library version
EIAapi,,,FALSE,The package required the jq command line library.Please check https://stedolan.github.io/jq/download/ fordownload instructions.
EigenR,,,FALSE,C++
elbird,,,TRUE,
elexr,,python3,TRUE,Pythonor and elex package
elliptic,,pari,TRUE,pari/gp
emayili,,,TRUE,The function render() requires Pandoc(http://pandoc.org). To use PGP/GnuPG encryption requires gpg.
emodnet.wfs,,,FALSE,"GDAL, GEOS, PROJ"
entropart,,pandoc,TRUE,pandoc
EpiSignalDetection,,,TRUE,pandoc
eplusr,,,TRUE,EnergyPlus (optional) (<https://energyplus.net>);udunits2
ergm,,,TRUE,
eseis,,,TRUE,gipptools dataselect
evapoRe,,,FALSE,"PROJ, https://proj.org/download.html), GDAL(>=, https://gdal.org/download.html), NetCDF,https://www.unidata.ucar.edu/software/netcdf/)."
EvidenceSynthesis,,,FALSE,Java
EviewsR,,,TRUE,EViews
EWOC.Comb,,,FALSE,"JAGS. For installation instructions, seehttp://mcmc-jags.sourceforge.net/"
exactextractr,geos,,TRUE,GEOS
exams,,,TRUE,pandoc
excerptr,,,FALSE,Python
excursions,gsl,,TRUE,Gnu Scientific Library version
exifr,exiftool,exiftool,TRUE,Perl
exiftoolr,exiftool,exiftool,TRUE,Perl
extraDistr,,,FALSE,C++
extRatum,,,TRUE,"GDAL, GEOS, PROJ"
ezknitr,,,TRUE,pandoc with https support
factset.protobuf.stach.v2,,,TRUE,"ProtoBuf libraries and compiler versionorlater; On Debian/Ubuntu these can be installed aslibprotoc-dev, libprotobuf-dev and protobuf-compiler, while onFedora/CentOS protobuf-devel and protobuf-compiler are needed."
factset.protobuf.stachextensions,protobuf,,TRUE,
fairGNN,,,FALSE,Optional 'LibTorch' backend; install viatorch::install_torch().
fangs,cargo,,FALSE,"Cargo (Rust's package manager), rustc"
fasterRaster,,,FALSE,GRASS
fastGLCM,,,TRUE,"apt-get-pip: apt-get install -y python3-pip (deb),python3-pip: python3 -m pip install -U pip (deb), numpy: pip3install -U numpy (deb), cv2: pip3 install -U opencv-python(deb), matplotlib: pip3 install -U matplotlib (deb), skimage:pip3 install -U scikit-image (deb), libarmadillo: apt-getinstall -y libarmadillo-dev (deb), libblas: apt-get install -ylibblas-dev (deb), liblapack: apt-get install -y liblapack-dev(deb), libarpack++2: apt-get install -y libarpack++2-dev (deb),: apt-get install -y  (deb)"
FastHamming,,,FALSE,"C compiler (C99), OpenMP"
FastKRR,,,FALSE,OpenMP (optional)
fastText,,,TRUE,"Generally, fastText builds on modern Mac OS andLinux distributions. Since it uses some  features, itrequires a compiler with good  support. These include a(g++-4.7.2 or newer) or a (-3.3 or newer)."
fcl,,,FALSE,"Cargo (Rust's package manager), rustc"
FCPS,,pandoc,TRUE,Pandoc
feamiR,,,TRUE,
feather,,,TRUE,little-endian platform
febr,,pandoc,TRUE,
fect,,,TRUE,
FedData,,,TRUE,GDAL
FFD,xvfb,bwidget,TRUE,BWidget
fftw,fftw,,TRUE,fftw3
fftwtools,fftw,,TRUE,"fftw3 (libfftw3-dev (deb), or fftw-devel (rpm))"
fgitR,,git,TRUE,Git
findInFiles,,grep,TRUE,grep
findInGit,,grep git,TRUE,"grep, git"
fio,,,FALSE,"Cargo (Rust's package manager), rustc, xz"
FishResp,,,TRUE,
fitbitViz,,,TRUE,update: apt-get -y update (deb)
flan,gsl,,TRUE,GNU GSL
flexsiteboard,,,TRUE,pandoc - http://pandoc.org
flint,,,FALSE,"flint, mpfr, gmp"
Fluidigm,,,FALSE,"perl, plink"
fluidsynth,,,FALSE,fluidsynth: fluidsynth-devel (rpm) orlibfluidsynth-dev (deb). On Linux you also need a soundfontprovided by 'fluid-soundfont-gm' (Fedora) or 'sf3-soundfont-gm'(Debian/Ubuntu)
FMAT,,,FALSE,Python
fmf,,,TRUE,"libarmadillo: apt-get install -y libarmadillo-dev(deb), libblas: apt-get install -y libblas-dev (deb),liblapack: apt-get install -y liblapack-dev (deb),libarpack++2: apt-get install -y libarpack++2-dev (deb),: apt-get install -y  (deb)"
fmriAR,,,FALSE,OpenMP (optional)
foieGras,,pandoc,TRUE,
footBayes,,pandoc,FALSE,"CmdStan(https://mc-stan.org/users/interfaces/cmdstan), pandoc, pandoc-citeproc"
forensim,,,FALSE,Tcl/Tk package TkTable
forImage,,,TRUE,
forsearch,,,TRUE,gmp
fpROC,,,FALSE,"OpenMP, TBB"
freesurfer,,,FALSE,"FSL, Freesurfer(https://surfer.nmr.mgh.harvard.edu/)"
frequency,,,TRUE,pandoc - http://pandoc.org
fRLR,gsl,,TRUE,GNU Scientific Library (GSL). Note: users shouldhave GSL installed.
fs,automake,,TRUE,
fsdaR,,,TRUE,"(license-free) MATLAB Runtime (MCR) V, Java(>=8)"
fslr,,,TRUE,FSL
fst,,,TRUE,little-endian platform
fstcore,,,TRUE,little-endian platform
ftExtra,,,TRUE,pandoc - http://pandoc.org
FTSgof,,,FALSE,XQuartz (https://www.xquartz.org/)
fuzzywuzzyR,,,FALSE,"Python, difflib, fuzzywuzzy,python-Levenshtein. Detailed installationinstructions can be found in the README file."
fwildclusterboot,,,TRUE,
gadjid,,,FALSE,"Cargo (Rust's package manager), rustc"
ganDataModel,,,TRUE,TensorFlow (https://www.tensorflow.org)
ganGenerativeData,,,TRUE,TensorFlow (https://www.tensorflow.org)
gcbd,,,TRUE,"Debian or Ubuntu system with access to Goto Blas,Intel MKL, Atlas development build as well as a Nvidia GPU withCUDA support"
GCPM,,,TRUE,"Windows, Linux, OS X"
gdalcubes,gdal proj curl netcdf sqlite,,FALSE,"GDAL, PROJ, netcdf, sqlite3"
gdalraster,,,FALSE,"GDAL, built against GEOS)"
gdata,,perl,TRUE,
gdtools,cairo freetype,,TRUE,"cairo, freetype2, fontconfig"
GeneralizedUmatrix,,,FALSE,"pandoc, needed for vignettes)"
GeneralizedWendland,gsl,,TRUE,gsl
genie,,,TRUE,"OpenMP,"
genieclust,,,FALSE,"OpenMP,"
genlogis,,,FALSE,RStudio -https://posit.co/products/open-source/rstudio/
geno2proteo,,perl,TRUE,Perl
GeoFIS,gmp mpfr,,FALSE,"gmp, mpfr"
geojsonR,,,TRUE,libarmadillo: apt-get install -y libarmadillo-dev(deb)
GeoMongo,,,TRUE,"MongoDB, Python. Installationinstructions and links can be found in the README file."
geouy,,,TRUE,
GerminaR,,,FALSE,pandoc
gert,libgit2,,TRUE,libgit2: libgit2-devel (rpm) orlibgit2-dev (deb)
geslaR,,,FALSE,arrow
GetoptLong,,perl-getopt-long,TRUE,"Perl, Getopt::Long"
gfiExtremes,,,FALSE,C++
gfilogisreg,gmp,,TRUE,
GGally,,,TRUE,openssl
ggdemetra,,,FALSE,Java
ggExtra,,pandoc,TRUE,pandoc with https support
ggiraph,libpng,,TRUE,libpng
gglinedensity,,,FALSE,"Cargo (Rust's package manager), rustc"
ggquickeda,,pandoc,TRUE,pandoc with https support
ggseg,,,TRUE,"GDAL, GEOS, PROJ"
ggtrace,,pandoc,TRUE,pandoc
giacR,,,FALSE,"Chromium-based browser (Google Chrome, Brave,"
gibasa,,,FALSE,"MeCab (libmecab-dev (deb),mecab-devel(rpm))"
gifski,cargo,,FALSE,"Cargo (Rust's package manager), rustc"
git2r,libgit2 openssl libssh2,,FALSE,libgit2 and its dependencies libssh2 andopenssl header and libraries.
gitcreds,,git,TRUE,git
gittargets,,git,TRUE,Git
glioblastomaEHRsData,,,FALSE,"pandoc - http://pandoc.org, tcltk(optional)"
glmulti,,,TRUE,Java
glpkAPI,glpk gmp,,TRUE,GLPK
gm,,musescore,TRUE,MuseScore - https://musescore.org/
gMCP,,,TRUE,Java
gmp,gmp,,TRUE,gmp
gmt,,gmt,TRUE,gmt
gnn,,,TRUE,TensorFlow (https://www.tensorflow.org/)
govdown,,,TRUE,pandoc - http://pandoc.org
goxygen,,,FALSE,"pandoc, pandoc-citeproc"
GPBayes,gsl,,TRUE,GNU Scientific Library version
gpg,gpgme,haveged-bin,TRUE,
gpuR,,,FALSE,"(supporting at least std=c++0x), OpenCLshared library (provided by an SDK such as AMD/NVIDIA) andOpenCL headers including the C++ header file (provided byKhronos if not by SDK)"
GRANBase,,subversion git,TRUE,
GreedyExperimentalDesign,,,TRUE,Java
GreedyExperimentalDesignJARs,,,TRUE,Java
greta,,,TRUE,
greta.censored,,,TRUE,
greta.dynamics,,,TRUE,
greta.gp,,,TRUE,
gretlR,,gretl,TRUE,gretl
gridDebug,,,TRUE,graphviz
gridGraphviz,,graphviz,TRUE,graphviz
grImport,,ghostscript,TRUE,ghostscript
GroupSeq,xvfb,,TRUE,
grwat,,,TRUE,pandoc
gsl,gsl,,TRUE,Gnu Scientific Library version
gslnls,gsl,,TRUE,GSL
gsynth,,,TRUE,A  compiler.
guildai,,,FALSE,Python
gWidgets2tcltk,xvfb,,TRUE,
GWmodelVis,,,FALSE,"GEOS, FFmpeg (for video export)"
GWnnegPCA,,,TRUE,"GDAL, GEOS, PROJ"
GWpcor,,,TRUE,"GDAL, GEOS, PROJ"
gyro,,,TRUE,
h2o,,java-bin,TRUE,"Java, <="
h2o4gpu,,,TRUE,Python with header files and sharedlibrary; H2O4GPU (https://github.com/h2oai/h2o4gpu)
